Registers with different behaviour
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x7f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x8f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9a42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9b42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9c42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9d42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9e42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0x9f42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xa942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xaa42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xab42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xac42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xad42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xae42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xaf42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xb942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xba42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xbb42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xbc42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xbd42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xbe42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xbf42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xc942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xca42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xcb42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xcc42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xcd42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xce42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xcf42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd442
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd542
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd642
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd742
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd842
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xd942
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xda42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xdb42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xdc42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xdd42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xde42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xdf42
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe042
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe142
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe242
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe342
ADDR=0x0002 VAL=0x0042 ACK=True CORRECT VALUE=0xe442
